,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride,dropout_rate
139,3,20,0.7606714498901367,0.74994,40.95530343055725,822.4638233184814,0.7454,1506430,0.01,128,0.9,32,2,3,1,0.5
140,3,21,0.739770518951416,0.75768,41.33920216560364,863.8189706802368,0.7454,1506430,0.01,128,0.9,32,2,3,1,0.5
141,3,22,0.7293730833435058,0.7605,41.18528389930725,905.0201153755188,0.75,1506430,0.01,128,0.9,32,2,3,1,0.5
142,3,23,0.7200210398101806,0.7645,40.94735813140869,945.9844450950623,0.7541,1506430,0.01,128,0.9,32,2,3,1,0.5
143,3,24,0.7091148410034179,0.7676,41.23156261444092,987.2309501171112,0.7558,1506430,0.01,128,0.9,32,2,3,1,0.5
144,3,25,0.6978798948669434,0.77288,40.951435565948486,1028.1983170509338,0.7568,1506430,0.01,128,0.9,32,2,3,1,0.5
145,3,26,0.6910637110137939,0.7756,41.10446071624756,1069.3190214633942,0.7612,1506430,0.01,128,0.9,32,2,3,1,0.5
146,3,27,0.6727122937774658,0.78358,41.030330657958984,1110.3658950328827,0.7692,1506430,0.01,128,0.9,32,2,3,1,0.5
147,3,28,0.6728369459533692,0.77926,41.12654948234558,1151.5084247589111,0.7652,1506430,0.01,128,0.9,32,2,3,1,0.5
148,3,29,0.6593095555877686,0.78578,41.160735845565796,1192.6860799789429,0.7726,1506430,0.01,128,0.9,32,2,3,1,0.5
149,3,30,0.6597119026184082,0.7856,41.108790159225464,1233.8108010292053,0.7639,1506430,0.01,128,0.9,32,2,3,1,0.5
150,3,31,0.6500855857849122,0.79054,41.13627529144287,1274.9640119075775,0.7743,1506430,0.01,128,0.9,32,2,3,1,0.5
151,3,32,0.6372994327545166,0.79386,41.10021495819092,1316.081128835678,0.7776,1506430,0.01,128,0.9,32,2,3,1,0.5
152,3,33,0.6388253685760498,0.7953,40.96816802024841,1357.066222190857,0.7709,1506430,0.01,128,0.9,32,2,3,1,0.5
153,3,34,0.6323463218688965,0.7944,41.06551384925842,1398.1476657390594,0.7783,1506430,0.01,128,0.9,32,2,3,1,0.5
154,3,35,0.621365463104248,0.80102,41.103262424468994,1439.2698788642883,0.7772,1506430,0.01,128,0.9,32,2,3,1,0.5
155,3,36,0.6253273755645752,0.79716,40.98892903327942,1480.274736404419,0.779,1506430,0.01,128,0.9,32,2,3,1,0.5
156,3,37,0.6114678731536866,0.80372,41.28162693977356,1521.572875738144,0.783,1506430,0.01,128,0.9,32,2,3,1,0.5
157,3,38,0.6060714122009278,0.8051,41.315367221832275,1562.9051971435547,0.7812,1506430,0.01,128,0.9,32,2,3,1,0.5
158,3,39,0.5966972576904297,0.80772,41.104451179504395,1604.026578426361,0.7799,1506430,0.01,128,0.9,32,2,3,1,0.5
159,3,40,0.5966123771667481,0.8062,41.10810112953186,1645.150629043579,0.7858,1506430,0.01,128,0.9,32,2,3,1,0.5
160,3,41,0.5992963256072998,0.80622,40.971957206726074,1686.1385436058044,0.7848,1506430,0.01,128,0.9,32,2,3,1,0.5
161,3,42,0.5871747578430175,0.80816,41.34336972236633,1727.4987757205963,0.7942,1506430,0.01,128,0.9,32,2,3,1,0.5
162,3,43,0.57822277633667,0.81314,41.35455393791199,1768.871281862259,0.7896,1506430,0.01,128,0.9,32,2,3,1,0.5
163,3,44,0.5799657363891602,0.81388,41.06297326087952,1809.9511909484863,0.7881,1506430,0.01,128,0.9,32,2,3,1,0.5
164,3,45,0.5671588021850585,0.81812,41.151527643203735,1851.119645357132,0.7937,1506430,0.01,128,0.9,32,2,3,1,0.5
165,3,46,0.5647448086547852,0.81942,41.00784254074097,1892.1433939933777,0.7942,1506430,0.01,128,0.9,32,2,3,1,0.5
166,3,47,0.564997612991333,0.81618,40.9897027015686,1933.1500232219696,0.7965,1506430,0.01,128,0.9,32,2,3,1,0.5
167,3,48,0.5579419313812256,0.81996,41.05238485336304,1974.21937251091,0.7936,1506430,0.01,128,0.9,32,2,3,1,0.5
168,3,49,0.5549781420135498,0.82096,41.12945318222046,2015.3647837638855,0.7994,1506430,0.01,128,0.9,32,2,3,1,0.5
169,3,50,0.5452932752227784,0.8247,41.11830949783325,2056.4982619285583,0.7984,1506430,0.01,128,0.9,32,2,3,1,0.5
170,3,51,0.5446380849456787,0.82558,41.23117756843567,2097.7473480701447,0.7923,1506430,0.01,128,0.9,32,2,3,1,0.5
171,3,52,0.543479244003296,0.8249,41.074302196502686,2138.8376088142395,0.7983,1506430,0.01,128,0.9,32,2,3,1,0.5
172,3,53,0.5392972571563721,0.82556,41.05200409889221,2179.906552553177,0.796,1506430,0.01,128,0.9,32,2,3,1,0.5
173,3,54,0.5424447624206543,0.82378,41.15611386299133,2221.0791096687317,0.8003,1506430,0.01,128,0.9,32,2,3,1,0.5
174,3,55,0.5377848903656006,0.8264,41.191479206085205,2262.2875413894653,0.7921,1506430,0.01,128,0.9,32,2,3,1,0.5
175,3,56,0.5271812610626221,0.8311,41.04583215713501,2303.3503017425537,0.8007,1506430,0.01,128,0.9,32,2,3,1,0.5
176,3,57,0.5248264220428467,0.82992,41.17085886001587,2344.5381338596344,0.799,1506430,0.01,128,0.9,32,2,3,1,0.5
177,3,58,0.5256273026275635,0.8306,41.196218729019165,2385.7517640590668,0.803,1506430,0.01,128,0.9,32,2,3,1,0.5
178,3,59,0.5164160543060303,0.8339,41.00322103500366,2426.771028995514,0.8015,1506430,0.01,128,0.9,32,2,3,1,0.5
179,3,60,0.5213822877502441,0.8317,41.093934059143066,2467.88090133667,0.7996,1506430,0.01,128,0.9,32,2,3,1,0.5
180,4,1,1.5161915017700196,0.44678,73.5065815448761,73.79284334182739,0.5756,3775870,0.01,128,0.9,64,2,3,1,0.1
181,4,2,1.062887533721924,0.62238,73.48233914375305,147.29109930992126,0.6709,3775870,0.01,128,0.9,64,2,3,1,0.1
182,4,3,0.8942742692565918,0.68852,73.59431505203247,220.9014012813568,0.7103,3775870,0.01,128,0.9,64,2,3,1,0.1
183,4,4,0.7948718196105957,0.72378,74.27684426307678,295.1960780620575,0.7261,3775870,0.01,128,0.9,64,2,3,1,0.1
184,4,5,0.7255655332183838,0.74966,74.57352375984192,369.78755259513855,0.7498,3775870,0.01,128,0.9,64,2,3,1,0.1
185,4,6,0.6683699340057373,0.77018,73.58007669448853,443.3855822086334,0.768,3775870,0.01,128,0.9,64,2,3,1,0.1
186,4,7,0.629417453994751,0.7835,73.55654978752136,516.9591042995453,0.7795,3775870,0.01,128,0.9,64,2,3,1,0.1
187,4,8,0.5918527913665772,0.79712,73.5781135559082,590.5541412830353,0.7846,3775870,0.01,128,0.9,64,2,3,1,0.1
188,4,9,0.5573053066253663,0.81042,73.47327947616577,664.0443556308746,0.7952,3775870,0.01,128,0.9,64,2,3,1,0.1
189,4,10,0.5355665021514893,0.8162,73.46877884864807,737.5300621986389,0.8074,3775870,0.01,128,0.9,64,2,3,1,0.1
190,4,11,0.5097518625640869,0.82484,73.57162880897522,811.1191608905792,0.808,3775870,0.01,128,0.9,64,2,3,1,0.1
191,4,12,0.4890857767868042,0.83436,73.61547088623047,884.7525351047516,0.8055,3775870,0.01,128,0.9,64,2,3,1,0.1
192,4,13,0.47603655822753904,0.83832,73.80633497238159,958.5758275985718,0.8144,3775870,0.01,128,0.9,64,2,3,1,0.1
193,4,14,0.44661140598297117,0.8486,75.28826975822449,1033.8840503692627,0.825,3775870,0.01,128,0.9,64,2,3,1,0.1
194,4,15,0.4347958486557007,0.8501,74.60639023780823,1108.5084064006805,0.8226,3775870,0.01,128,0.9,64,2,3,1,0.1
195,4,16,0.42105094676971433,0.85452,73.71149444580078,1182.2365353107452,0.8276,3775870,0.01,128,0.9,64,2,3,1,0.1
196,4,17,0.400546749458313,0.8639,73.42331027984619,1255.676816701889,0.8204,3775870,0.01,128,0.9,64,2,3,1,0.1
197,4,18,0.38683593254089355,0.86752,73.42646789550781,1329.120528459549,0.8289,3775870,0.01,128,0.9,64,2,3,1,0.1
198,4,19,0.3836009320449829,0.86876,73.74455714225769,1402.8820536136627,0.8364,3775870,0.01,128,0.9,64,2,3,1,0.1
199,4,20,0.369862520904541,0.87314,73.44021320343018,1476.3392045497894,0.8375,3775870,0.01,128,0.9,64,2,3,1,0.1
200,4,21,0.3646046704864502,0.8752,73.38668060302734,1549.741807937622,0.8338,3775870,0.01,128,0.9,64,2,3,1,0.1
201,4,22,0.3512900299072266,0.87886,73.38680124282837,1623.146523475647,0.8366,3775870,0.01,128,0.9,64,2,3,1,0.1
202,4,23,0.34347682178497313,0.88154,73.5073070526123,1696.673728942871,0.8434,3775870,0.01,128,0.9,64,2,3,1,0.1
