,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride
188,7,9,0.5643020278930664,0.80154,56.17170238494873,506.0925362110138,0.6912,3773950,0.01,128,0.9,64,2,3,1
189,7,10,0.47202881866455076,0.83332,56.249536991119385,562.3577375411987,0.6868,3773950,0.01,128,0.9,64,2,3,1
190,7,11,0.3851060887527466,0.86404,56.21086001396179,618.5834889411926,0.7142,3773950,0.01,128,0.9,64,2,3,1
191,7,12,0.3144617256164551,0.88942,56.22701597213745,674.8264937400818,0.6932,3773950,0.01,128,0.9,64,2,3,1
192,7,13,0.24817241765975953,0.91306,56.16879487037659,731.0122096538544,0.6992,3773950,0.01,128,0.9,64,2,3,1
193,7,14,0.19484184064865112,0.93136,56.208006143569946,787.2371430397034,0.7089,3773950,0.01,128,0.9,64,2,3,1
194,7,15,0.1415996760749817,0.95058,56.14290523529053,843.397967338562,0.6985,3773950,0.01,128,0.9,64,2,3,1
195,7,16,0.11212906666755676,0.96188,56.220752239227295,899.6342725753784,0.688,3773950,0.01,128,0.9,64,2,3,1
196,7,17,0.08753491464138032,0.97022,56.23062872886658,955.8815786838531,0.707,3773950,0.01,128,0.9,64,2,3,1
197,7,18,0.07308912259101867,0.97532,56.48070788383484,1012.3782160282135,0.7265,3773950,0.01,128,0.9,64,2,3,1
198,7,19,0.052634192667007446,0.98214,56.25891375541687,1068.653244972229,0.7207,3773950,0.01,128,0.9,64,2,3,1
199,7,20,0.038104011120796207,0.98746,56.229716300964355,1124.899924993515,0.7279,3773950,0.01,128,0.9,64,2,3,1
200,7,21,0.030692081520557402,0.98986,56.22201228141785,1181.1388607025146,0.7308,3773950,0.01,128,0.9,64,2,3,1
201,7,22,0.026536707808971403,0.9913,56.22663497924805,1237.3824214935303,0.7255,3773950,0.01,128,0.9,64,2,3,1
202,7,23,0.02172308395564556,0.99262,56.21974301338196,1293.6190869808197,0.7308,3773950,0.01,128,0.9,64,2,3,1
203,7,24,0.019261516265869142,0.99366,56.19152331352234,1349.8265128135681,0.7341,3773950,0.01,128,0.9,64,2,3,1
204,7,25,0.01527988943874836,0.99464,56.17535066604614,1406.018811225891,0.7366,3773950,0.01,128,0.9,64,2,3,1
205,7,26,0.01598908516407013,0.9949,56.20435833930969,1462.240122795105,0.7325,3773950,0.01,128,0.9,64,2,3,1
206,7,27,0.014588934893608093,0.99514,56.17685866355896,1518.4339077472687,0.733,3773950,0.01,128,0.9,64,2,3,1
207,7,28,0.013378473979979754,0.99546,56.19559955596924,1574.6468164920807,0.7366,3773950,0.01,128,0.9,64,2,3,1
208,7,29,0.009954870709180831,0.99654,56.25890493392944,1630.9236447811127,0.7453,3773950,0.01,128,0.9,64,2,3,1
209,7,30,0.00689525761783123,0.99794,56.24127388000488,1687.1808767318726,0.7349,3773950,0.01,128,0.9,64,2,3,1
210,8,1,2.1863244128417967,0.17204,71.74388289451599,71.96728944778442,0.2777,4870654,0.01,128,0.9,64,2,5,1
211,8,2,1.7816970092773436,0.34584,71.87477898597717,143.8573443889618,0.4052,4870654,0.01,128,0.9,64,2,5,1
212,8,3,1.4850189016723634,0.45594,71.84562611579895,215.71989154815674,0.5022,4870654,0.01,128,0.9,64,2,5,1
213,8,4,1.2706213247680664,0.54302,71.75433468818665,287.4891791343689,0.5759,4870654,0.01,128,0.9,64,2,5,1
214,8,5,1.0924569438171388,0.61326,71.79678916931152,359.30289006233215,0.6295,4870654,0.01,128,0.9,64,2,5,1
215,8,6,0.9278761933898926,0.67504,71.70487809181213,431.02560448646545,0.6724,4870654,0.01,128,0.9,64,2,5,1
216,8,7,0.7803642687988281,0.7286,71.79475378990173,502.8365972042084,0.6982,4870654,0.01,128,0.9,64,2,5,1
217,8,8,0.6536424062347412,0.7725,71.66630697250366,574.518853187561,0.7169,4870654,0.01,128,0.9,64,2,5,1
218,8,9,0.5638460801696777,0.803,71.63233470916748,646.1671476364136,0.7156,4870654,0.01,128,0.9,64,2,5,1
